Timepoint,Day,Month,Year,Days,pH,Temp,DO,mmHg,SPC
T1,30,9,2013,1,7.40,15.00,NA,NA,NA
T2,4,11,2013,36,7.30,7.40,NA,NA,NA
T3,25,11,2013,57,7.12,7.00,NA,NA,NA
T4,17,12,2013,79,7.33,5.50,NA,NA,NA
T5,8,1,2014,101,7.26,5.00,13.10,NA,NA
T6,29,1,2014,122,7.14,5.25,11.80,NA,NA
T7,22,2,2014,146,8.54,5.00,13.60,745.50,69.90
T8,12,3,2014,164,7.24,6.75,10.90,761.30,65.10
T9,7,4,2014,190,8.49,7.00,10.15,754.55,62.75
T10,30,4,2014,213,7.87,11.00,9.85,750.20,60.35
T11,20,5,2014,233,8.24,12.50,10.55,748.65,58.85
T12,10,6,2014,254,7.24,14.00,10.25,754.10,57.45
T13,2,7,2014,276,6.71,19.00,10.85,757.60,60.05
T14,23,7,2014,297,6.75,19.00,10.65,757.85,62.75
T15,12,8,2014,317,6.56,17.05,8.65,744.65,61.50
T16,4,9,2014,340,6.57,16.50,8.30,756.20,60.65
