Family,Genus,Species,OTU,Both,Exuvia,Water
Chironomidae,Micropsectra,sp,OTU_1095,0,0,1
Chironomidae,Gymnometriocnemus,brumalis,OTU_1096,0,0,1
Chironomidae,Polypedilum,sp,OTU_114,0,1,0
Chironomidae,Pseudosmittia,forcipata,OTU_1151,0,0,1
Chironomidae,Diamesa,permacra,OTU_1181,0,0,1
Chironomidae,Cricotopus,sp,OTU_120,0,0,1
Chironomidae,Corynoneura,sp,OTU_13,1,1,1
Chironomidae,Thienemannimyia,sp,OTU_131,0,1,0
Chironomidae,Psectrocladius,limbatellus,OTU_133,1,1,1
Chironomidae,Micropsectra,sp,OTU_139,1,1,1
Chironomidae,Tanytarsus,signatus,OTU_140,0,1,0
Chironomidae,Heterotanytarsus,apicalis,OTU_141,0,1,0
Chironomidae,G,sp,OTU_142,1,1,1
Chironomidae,Orthocladius,frigidus,OTU_144,0,0,1
Chironomidae,Dicrotendipes,sp,OTU_147,1,1,1
Chironomidae,Micropsectra,sp,OTU_15,1,1,1
Chironomidae,Chaetocladius,melaleucus,OTU_153,1,1,1
Chironomidae,Pseudorthocladius,curtistylus,OTU_155,1,1,1
Chironomidae,Heleniella,sp,OTU_167,0,1,0
Chironomidae,Tanytarsus,usmaensis,OTU_169,0,1,0
Chironomidae,G,sp,OTU_170,1,1,1
Chironomidae,Nanocladius,dichromus,OTU_171,1,1,1
Chironomidae,Monopelopia,sp,OTU_186,0,0,1
Chironomidae,Orthocladius,sp,OTU_196,1,1,1
Chironomidae,Tanytarsus,brundini,OTU_1977,1,1,1
Chironomidae,Tanytarsus,bathophilus,OTU_20,1,1,1
Chironomidae,Cricotopus,albiforceps,OTU_204,0,1,0
Chironomidae,Psectrocladius,octomaculatus,OTU_208,1,1,1
Chironomidae,Virgatanytarsus,sp,OTU_21,1,1,1
Chironomidae,Eukiefferiella,sp,OTU_213,0,0,1
Chironomidae,Paratanytarsus,sp,OTU_215,1,1,1
Chironomidae,Procladius,sp,OTU_2151,0,1,0
Chironomidae,Limnophyes,asquamatus,OTU_216,0,1,0
Chironomidae,Microtendipes,pedellus,OTU_2185,1,1,1
Chironomidae,Dicrotendipes,modestus,OTU_22,1,1,1
Chironomidae,G,sp,OTU_2242,0,0,1
Chironomidae,Cricotopus,sylvestris,OTU_2259,0,0,1
Chironomidae,Paratanytarsus,tenuis,OTU_2280,1,1,1
Chironomidae,Paratanytarsus,tenuis,OTU_2286,0,1,0
Chironomidae,Parakiefferiella,bathophila,OTU_230,1,1,1
Chironomidae,Paraborniella,sp,OTU_231,1,1,1
Chironomidae,Tanytarsus,brundini,OTU_2317,0,1,0
Chironomidae,Tanytarsus,usmaensis,OTU_238,1,1,1
Chironomidae,Chironomus,entis,OTU_241,1,1,1
Chironomidae,Nilodorum,sp,OTU_246,0,1,0
Chironomidae,Paratanytarsus,tenuis,OTU_25,1,1,1
Chironomidae,Chaetocladius,sp,OTU_254,1,1,1
Chironomidae,Metriocnemus,albolineatus,OTU_257,1,1,1
Chironomidae,Limnophyes,sp,OTU_274,1,1,1
Chironomidae,Dicrotendipes,pulsus,OTU_283,0,1,0
Chironomidae,Pagastiella,orophila,OTU_284,1,1,1
Chironomidae,Chironomus,sp,OTU_286,0,0,1
Chironomidae,Cricotopus,sp,OTU_29,0,1,0
Chironomidae,Parakiefferiella,smolandica,OTU_292,0,1,0
Chironomidae,Chironomus,riparius,OTU_295,0,0,1
Chironomidae,Chironomus,muratensis,OTU_297,0,1,0
Chironomidae,Nanocladius,filiformis,OTU_300,0,0,1
Chironomidae,Phaenopsectra,sp,OTU_302,0,1,0
Chironomidae,Corynoneura,sp,OTU_31,1,1,1
Chironomidae,Parachironomus,sp,OTU_319,0,1,0
Chironomidae,Smittia,sp,OTU_320,0,0,1
Chironomidae,Paracladopelma,camptolabis,OTU_324,0,1,0
