Year,WBID,LakeID,Lake,Elevation,Area,MnDepth,MxDepth,Volume,CatchmentArea,RetTime,pH,Cond,Alkalinity,TN,TP
4,33974,L33974,Cwmffynnon,385,10.7,4.3,11,0.46,80,55,5.8,19,2.1,0.05,0.004
4,33862,L33862,Bochlwyd,555,4.2,7.2,18,0.3,119,27,5.6,20,2.7,0.35,0.011
4,34039,L34039,Teyrn,375,1.9,4.5,8,0.09,22,41,5.2,20,0.2,0.28,0.005
98,34319,L34319,Llagi,380,5.7,5.8,17,0.33,157,25,5.5,25,0.3,0.12,0.004
4,33803,L33803,Ogwen,300,38.5,6.8,17,2.62,1074,27,6.6,25,3.3,0.2,0.017
4,34033,L34033,Llydaw,430,47.4,19.6,50,9.29,393,206,6.2,26,2.5,0.23,0.01
3,29129,L29129,Grisedale,538,11.6,11.6,33,1.34,83,238,7.4,27,1.4,0.56,0.016
4,33836,L33836,Idwal,370,14,3.4,13,0.48,305,20,6.4,27,3.5,0.24,0.02
2,27922,L27922,LongLGlenhead,295,10,4.3,14,0.43,92,85,5,29,-0.3,0.33,0.003
9,38427,L38427,Claerwen,369,265.1,18.2,36,48.3,5354,219,5.7,29,0.5,0.4,0.006
5,37834,L37834,Ieuan,525,4,3.9,9,0.16,8,432,4.6,29,-0.5,0.3,0.005
8,36267,L36267,Cau,478,13.5,21,47,2.83,98,465,6.3,30,0.56,0.25,0.003
8,34400,L34400,Conwy,427,39,7.7,22,2.99,137,104,5.1,30,1.8,0.37,0.015
5,40297,L40297,FanFawr,608,15.6,6,20,0.93,57,337,6.6,30,3.9,0.4,0.011
5,38394,L38394,Hîr,439,5.1,2.8,9,0.14,21,162,6.3,30,2.8,0.43,0.019
8,34042,L34042,Glaslyn,605,8.3,14.9,38,1.24,104,105,6.5,31,6.4,0.47,0.006
5,38525,L38525,Gynon,427,23.3,2.2,11,0.51,270,48,6.5,31,2.6,0.45,0.013
8,27900,L27900,Valley,320,34.7,5.2,17,1.8,640,53,4.9,31,-0.4,0.31,0.003
9,38419,L38419,Caban_coch,250,202,18,36,36.37,18352,49,6.3,31,0.95,0.41,0.007
8,29179,L29179,Angle,568,3.5,7,16,0.24,53,44,5.8,31,1.4,0.29,0.005
4,38214,L38214,CraigGoch,317,88,10.5,36,9.22,5598,40,7.1,32,2.7,0.56,0.022
6,35561,L35561,Bodlyn,385,16.5,8.1,20,1.34,366,75,6.9,32,2.1,0.48,0.025
98,29153,L29153,Scoat,602,5.2,8.1,20,0.42,95,57,5.1,33,-0.3,0.25,0.003
9,37596,L37596,Nant_y_Moch,338,212.3,15.6,40,33.04,5514,128,5.7,33,0.5,0.3,0.007
2,27927,L27927,RoundLGlenhead,295,12.5,4.3,14,0.54,95,99,5,33,-0.5,0.28,0.005
2,27948,L27948,Dee,225,100.1,4.4,15,4.44,1460,57,5.5,33,1.9,0.29,0.008
8,29285,L29285,Levers,413,14.8,15,37,2.22,200,159,5,33,-0.4,0.37,0.004
8,29081,L29081,Bleaberry,497,1,4,6,0.04,43,14,6.3,34,1.1,0.34,0.004
8,27827,L27827,Dungeon,305,35.4,6.9,29,2.44,642,70,5.5,34,0.1,0.26,0.004
9,33571,L33571,Eigiau,378,50,3.9,10,1.95,1009,28,6.7,34,4,0.24,0.006
8,28905,L28905,Scales,598,1.2,4,8,0.05,30,32,4.9,34,-0.6,0.19,0.002
4,38409,L38409,Egnant,420,13.9,4.3,11,0.6,125,121,6.3,34,1.5,0.62,0.028
8,29290,L29290,Seathwaite,374,24.1,10,30,2.41,466,79,5.7,34,0.3,0.37,0.008
8,27801,L27801,Minnoch,271,6.6,2.7,7,0.18,821,4,5.7,35,0.3,0.24,0.004
99,29215,L29215,Burnmoor,252,24,3.7,13,0.89,226,78,6.7,35,3,0.07,0.004
8,34511,L34511,Gamallt,465,10.5,1.5,2,0.16,56,43,4.6,35,-0.6,0.39,0.013
3,29052,L29052,Buttermere,101,94,16.2,29,15.23,1690,111,6.9,36,3,0.34,0.026
9,33686,L33686,Cowlyd,355,103.5,33,70,34.16,645,803,7.1,36,4.8,0.24,0.007
3,29021,L29021,Thirlmere,179,326.7,16.1,46,52.53,2930,231,7.3,36,3.2,0.29,0.004
2,28160,L28160,Fleet,340,17.8,6.5,17,1.16,111,173,5.5,36,-2,0.22,0.006
4,38390,L38390,Teifi,408,24.4,5.3,14,1.3,136,234,6.8,36,2,0.24,0.011
3,29062,L29062,Ennerdale,112,300,17.8,42,53.28,4410,152,6.8,38,3.1,0.58,0.021
9,34644,L34644,Celyn,299,323.6,22,43,71.2,5980,255,5.9,38,1.7,0.33,0.01
4,34002,L34002,Cwellyn,142,85,22.6,36,19.21,1988,129,6.8,38,4,0.42,0.013
3,29000,L29000,Crummock,100,252,26.4,44,66.53,4360,246,7.4,39,3.8,0.32,0.003
7,22577,L22577,nanGabhar,1,16.6,0.8,2,0.13,3285,1,6.3,39,3,0.15,0.006
8,29181,L29181,Greendale,407,2.2,3,9,0.07,78,15,5.8,39,0.6,0.31,0.005
8,29246,L29246,Stony,298,1.4,3,8,0.04,36,23,6.1,39,0.9,0.22,0.004
8,29252,L29252,Eel,207,1.6,0.4,1,0.01,25,6,5.4,39,0.1,0.27,0.008
8,29045,L29045,Floutern,377,1.3,2,4,0.03,39,13,5.7,39,0.4,0.29,0.006
8,27777,L27777,Harrow,248,13.7,3.5,9,0.48,385,24,5.3,40,-0.1,0.31,0.006
3,29250,L29250,Birkdale,487,7.3,1,2,0.07,18,88,3.8,40,-0.3,0.77,0.022
