Genus,Species,L33974,L33862,L34039,L34319,L33803,L34033,L29129,L33836,L27922,L38427,L37834,L36267,L34400,L40297,L38394,L34042,L38525,L27900,L38419,L29179,L38214,L35561,L29153,L37596,L27927,L27948,L29285,L29081,L27827,L33571,L28905,L38409,L29290,L27801,L29215,L34511,L29052,L33686,L29021,L28160,L38390,L29062,L34644,L34002,L29000,L22577,L29181,L29246,L29252,L29045,L27777,L29250,L27967,L29183,L33962,L35426,L24459,L39020,L22308,L35578,L29008,L24132,L35568,L34635,L34987,L38907,L29222,L36405,L35650,L33730,L29073,L34870,L29184,L46279,L28130,L29197,L14057,L35180,L32299,L29338,L27699,L46232,L33976,L37446,L28965,L28076,L31104,L32359,L28955,L31876,L38422,L27823,L27698,L27693,L29219,L29233N,L28860,L28847,L34665,L29321,L28986,L46225,L2490,L39967,L32111,L34668,L10786,L29233S,L28901,L46262,L33474,L5222,L6405,L33923,L30030,L11642,L32459N,L32459S,L28519,L3904,L29990,L29328,L28976,L5307,L27568,L8751,L34622,L29770,L29270,L11238,L45652,L28165,L28370,L4204,L30068,L44471,L28386,L46501,L12733,L30091,L18682,L15176,L28172,L32961,L15316,L26257,L16456,L28220,L26168,L29479,L26217,L5714,L32538,L46102,L26944,L25899,L32435,L41559,L24843,L33784,L43909,L26178,L35079,L45790,L44031,L46556,L29178,L35091,L29844,L43943,L34780,L34990,L36714,L46472,L40067,L42170,L33790,L36566,L33337,L43348,L33627,L33781,L32744,L32948,L35211,L35928,L43602,L43096,L19170,L32968,L32804,L29647,L43135,L45108,L34480,L36331,L44518,L36523,L32650,L36202,L41602E,L32761,L35478,L41602W,L36108,L491181,L41011,L40755,L36544,L32960,L30244,L491192,L42417,L35724,L492180,L493179,L40418,L35953,L35981,L496179,L497179,L38310,L36479,L36050,L41427,L39450,L35738,L35640
Apsectrotanypus,trifascipennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,1,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinotanypus,nervosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macropelopia,adaucta,3,6,4,3,4,2,0,6,4,21,0,6,0,0,0,0,0,3,2,8,0,0,3,0,6,12,10,2,13,1,11,2,12,14,1,17,2,0,0,1,2,2,0,0,2,3,15,67,38,13,16,0,6,0,0,5,4,0,17,5,107,0,0,17,0,0,0,0,8,1,0,1,1,0,16,12,7,6,0,1,19,0,0,0,3,9,41,0,0,6,1,18,0,6,1,0,0,0,13,1,0,0,0,0,6,10,1,1,1,0,0,5,4,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,5,0,0,52,11,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macropelopia,nebulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,14,0,0,2,3,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,6,2,0,15,0,6,0,0,4,0,1,1,6,0,0,0,0,0,5,1,0,6,2,0,6,0,4,0,1,0,0,0,0,0,1,0,0,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0
Macropelopia,notata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procladius,choreus,9,5,4,1,5,2,0,2,1,1,0,21,2,5,0,25,3,7,61,17,1,0,6,1,0,1,6,2,1,1,12,6,1,2,0,12,1,14,0,2,15,8,15,8,1,3,6,12,5,22,10,14,0,21,0,1,34,2,4,5,3,44,29,4,7,6,49,2,1,2,1,0,25,1,3,21,9,0,4,0,16,15,0,11,6,4,108,11,9,17,0,16,5,6,83,30,0,10,13,10,25,6,6,0,15,3,6,8,1,6,22,0,0,17,0,0,17,17,1,24,0,38,0,0,2,0,14,8,9,4,9,1,104,0,0,0,0,0,2,0,0,2,1,4,0,0,0,0,0,1,0,4,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,39,39,1,0,0,2,2,13,3,0,2,0,0,0,27,0,0,0,10,0,0,0,0,0,13,0,20,0,25,18,0,7,11,11,34,0,51,2,28,0,1,8,0,0,72,1,0,70,127,0,6,0,6,57,0,0,1,6,0,6,32
Procladius,crassinervis,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,7,2,0,0,0,4,17,104,7,0,0,13,0,0,52,0,0,0,0,24,5,0,0,38,36,0,0,0,4,0,72,21,31,1,0,9,102,3,0,38,24,0,0,49,0,1,0,0,0,13,0,0,0,25,14,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,129,0,0,0,0,0,101,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,19,2,0,0
Procladius,sagittalis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,149,0,0,1,0,5,8,0,0,0,0,30,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,114,0,0,0,0,2,0,1,0,2,0,0,17,7,0,0,28,6,20,0,0,0,0,6,2,32,49,0,61,0,16,0,5,0,0,0,1,0,8,0,0,169,0,0,1,163,0,19,2,6,0,150,4,2,212,116,1,51,23,5,5,238,56,4,56,14,72,4,113,77,0,1,61,153,1,39,89,58,8,5,5,3,90,18,104,8,113,17,27,3,38,10,18,90,19,3,31,42,41,69,2,159,0,14,45,61,31,57,149,39,11,88,110,2,71,114,14,16,112,9,57,13,8,8,17,50,123,136,9,136
Procladius,signatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Procladius,simplicistylus,0,0,0,3,0,0,0,0,0,0,112,10,0,1,0,0,0,0,0,0,1,2,0,17,0,4,0,0,5,6,0,1,0,9,1,0,1,0,7,0,3,1,6,0,0,0,0,0,0,0,6,0,47,0,0,0,26,0,0,4,0,2,38,0,11,0,17,19,0,5,0,30,4,17,3,17,11,12,10,0,0,3,17,4,12,1,0,51,6,0,0,0,24,0,37,8,31,6,6,3,17,32,0,0,36,58,8,5,0,5,34,8,14,12,28,37,34,25,7,4,116,13,8,16,7,0,1,28,13,5,0,8,0,21,21,179,48,5,0,4,0,4,1,10,0,10,12,52,2,0,3,0,19,27,3,0,6,0,38,0,0,21,39,0,13,0,53,0,57,24,16,2,11,18,0,12,27,1,146,3,5,0,1,3,4,17,0,93,19,35,6,0,53,0,0,0,2,78,20,53,0,6,47,1,6,0,50,0,0,2,0,0,137,0,0,0,9,3,28,0,0,0,0,2,38,0,0,0
