Genus,Species,Sensitivity
Microtendipes,britteni,-1.58
Parakiefferiella,fennica,-1.42
Nilotanypus,dubius,-1.39
Arctopelopia,barbitarsus,-1.36
Apsectrotanypus,trifascipennis,-1.35
Psectrocladius,octomaculatus,-1.29
Zavrelimyia,hirtimana,-1.27
Trissopelopia,longimana,-1.17
Cricotopus,tremulus,-1.15
Pseudosmittia,ruttneri,-1.14
Conchapelopia,viator,-1.13
Parakiefferiella,coronata,-1.10
Thienemannimyia,northumbrica,-1.08
Paracladopelma,nigritulum,-1.08
Acamptocladius,reissi,-1.07
Stictochironomus,maculipennis,-1.05
Cricotopus,triannulatus,-1.04
Corynoneura,sp,-0.98
Paraphaenocladius,penerasus,-0.97
Eukiefferiella,minor,-0.97
Thienemannimyia,lentiginosa,-0.96
Corynoneura,celtica,-0.96
Neozavrelia,longappendiculata,-0.96
Potthastia,sp,-0.96
Psectrocladius,bisetus,-0.95
Chironomus,lacunarius,-0.94
Tanytarsus,signatus,-0.93
Conchapelopia,melanops,-0.93
Orthocladius,olivaceus,-0.92
Psectrocladius,oligosetus,-0.91
Eukiefferiella,clypeata,-0.91
Georthocladius,luteicornis,-0.90
Paratanytarsus,penicillatus,-0.88
Stempellinella,brevis,-0.87
Thienemannimyia,pseudocarnea,-0.87
Paratrichocladius,skirwithensis,-0.86
Tanytarsus,striatulus,-0.86
Paraphaenocladius,pseudirritus,-0.85
Cladotanytarsus,vanderwulpi,-0.84
Eukiefferiella,devonica,-0.84
Eukiefferiella,coerulescens,-0.83
Tvetenia,verralli,-0.83
Parachironomus,sp,-0.82
Thienemanniella,vittata,-0.82
Psectrocladius,barbatipes,-0.82
Cricotopus,ephippium,-0.81
Micropsectra,lindebergi,-0.81
Tanytarsus,recurvatus,-0.81
Orthocladius,frigidus,-0.81
Polypedilum,albicorne,-0.81
Chaetocladius,melaleucas,-0.80
Psectrocladius,calcaratus,-0.80
Macropelopia,adaucta,-0.80
Chironomus,holomelas,-0.79
Potthastia,gaedii,-0.78
Acamptocladius,submontanus,-0.76
Paracladopelma,laminatum,-0.76
Heterotrissocladius,grimshawi,-0.75
Psectrocladius,brehmi,-0.75
Stempellina,bausei,-0.75
Parakiefferiella,smolandica,-0.73
Orthocladius,dentifer,-0.72
Heterotanytarsus,apicalis,-0.72
Macropelopia,nebulosa,-0.72
Lauterborniella,agrayloides,-0.71
Corynoneura,lacustris,-0.71
Psectrocladius,fennicus,-0.71
Limnophyes,spinigus,-0.71
Heterotrissocladius,marcidus,-0.70
Stictochironomus,sticticus,-0.70
Sergentia,psiloptera,-0.69
Cricotopus,annulator,-0.69
Psectrocladius,platypus,-0.68
Paramerina,pygmaea,-0.68
Virgatanytarsus,sp,-0.67
Pagastiella,orophila,-0.66
Zalutschia,humphresiae,-0.66
Nilothauma,brayi,-0.65
Arctopelopia,melanosoma,-0.65
Sergentia,coracina,-0.64
Cricotopus,brevipalpis,-0.64
Eukiefferiella,ilkleyensis,-0.63
Micropsectra,pallidula,-0.62
Pseudorthocladius,filiformis,-0.62
Cladotanytarsus,iucundus,-0.59
Pseudosmittia,oxoniana,-0.59
Polypedilum,arundineti,-0.59
Nanocladius,balticus,-0.59
Tanytarsus,brundini,-0.58
Tanytarsus,chinyensis,-0.57
Tanytarsus,lactescens,-0.57
Synorthocladius,semivirens,-0.56
Arctopelopia,griseipennis,-0.56
Corynoneura,fittkaui,-0.55
Dicrotendipes,tritomus,-0.55
Paratanytarsus,dissimilis,-0.53
Parakiefferiella,bathophila,-0.53
Limnophyes,angelicae,-0.53
Psectrocladius,sp,-0.52
Cricotopus,pulchripes,-0.51
Cricotopus,albiforceps,-0.51
Tanytarsus,curticornis,-0.51
Polypedilum,pullum,-0.50
Protanypus,morio,-0.50
Chironomus,entis,-0.50
Eukiefferiella,claripennis,-0.49
Limnophyes,natalensis,-0.49
Polypedilum,pedestre,-0.49
Limnophyes,edwardsi,-0.48
Corynoneura,arctica,-0.48
Xenochironomus,xenolabis,-0.48
Metriocnemus,picipes,-0.11
Rheocricotopus,effusus,-0.11
Polypedilum,uncinatum,-0.10
Corynoneurella,paludosa,-0.09
Limnophyes,sp,-0.08
Micropsectra,junci,-0.07
Procladius,choreus,-0.06
Tanytarsus,palmeni,-0.04
Parachironomus,vitiosus,-0.04
Procladius,crassinervis,-0.04
Tvetenia,bavarica,0.00
Procladius,flavifrons,0.00
Psectrocladius,oxyura,0.01
Cricotopus,ornatus,0.02
Tanytarsus,telmaticus,0.02
Cladotanytarsus,nigrovittatus,0.02
Cricotopus,flavocinctus,0.02
Chironomus,bernensis,0.03
Paratendipes,albimanus,0.04
Tanytarsus,usmaensis,0.06
Chironomus,anthracinus,0.06
Smittia,sp,0.07
Stenochironomus,gibbus,0.09
Orthocladius,consobrinus,0.10
Tanytarsus,heusdensis,0.11
Cricotopus,pilosellus,0.11
Psectrocladius,obvius,0.13
Cladopelma,viridulum,0.14
Thienemanniella,sp,0.14
Cricotopus,festivellus,0.15
Procladius,simplicistylus,0.16
Dicrotendipes,pulsus,0.16
Tribelos,intextus,0.16
Tanytarsus,debilis,0.18
Dicrotendipes,lobiger,0.18
Stempellina,almi,0.18
Microtendipes,chloris,0.19
Limnophyes,ninae,0.19
Glyptotendipes,imbecilis,0.20
Cladotanytarsus,sp,0.20
Glyptotendipes,gripekoveni,0.21
Tanytarsus,medius,0.21
Tanytarsus,pallidicornis,0.21
Cryptochironomus,defectus,0.22
Cricotopus,sp,0.23
Limnophyes,minimus,0.23
Cladotanytarsus,mancus,0.26
Limnophyes,pentaplastus,0.27
Cryptochironomus,supplicans,0.28
Cricotopus,cylindraceus,0.29
Glyptotendipes,salinus,0.29
Procladius,signatus,0.30
Metriocnemus,eurynotus,0.31
Tanytarsus,anderseni,0.31
Orthocladius,obumbratus,0.32
Psectrocladius,schlienzi,0.32
Orthocladius,(Eudact),0.33
Tanytarsus,longitarsis,0.33
Tanytarsus,lestagei,0.33
Clinotanypus,nervosus,0.33
Cladotanytarsus,pallidus,0.34
Cricotopus,pallidipes,0.34
Parachironomus,tenuicaudatus,0.35
Harnischia,curtilamellata,0.35
Limnophyes,brachytomus,0.35
Nanocladius,dichromus,0.36
Paratanytarsus,bituberculatus,0.36
Polypedilum,convictum,0.36
Parachironomus,mauricii,0.40
Cricotopus,obnixus,0.40
Parametriocnemus,stylatus,0.41
Synendotendipes,sp,0.42
Labrundinia,longipalpis,0.43
Prodiamesa,olivacea,0.45
Tanytarsus,verralli,0.45
Psectrocladius,sordidellus,0.45
Cladotanytarsus,atridorsum,0.46
Paratanytarsus,dimorphis,0.49
Einfeldia,pagana,0.49
