Subfamily,Family,Genus,Species,T1,T2_1,T2_2,T2_3,T3,T4_1,T4_2,T4_3,T4_4,T5_1,T5_2,T5_3,T5_4,T5_5,T6_1,T6_2,T6_3,T6_4,T7_1,T7_2,T7_3,T7_4,T8_1,T8_2,T8_3,T8_4
Tanypodinae,Chironomidae,Ablabesmyia,longistyla,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanypodinae,Chironomidae,Ablabesmyia,monilis,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0
Orthocladiinae,Chironomidae,Brillia,bifida,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Brillia,flavifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Bryophaenocladius,bryophaenocladius,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,anthracinus,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,longistylus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,nuditarsis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,piger,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,sp,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
Chironominae,Chironomidae,Cladopelma,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chironominae,Chironomidae,Cladopelma,viridulum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Cladotanytarsus,mancus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Cladotanytarsus,sp,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tanypodinae,Chironomidae,Conchapelopia,melanops,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,arctica,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,celtica,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,coronata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,lacustris,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,sp,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Orthocladiinae,Chironomidae,Cricotopus,albiforceps,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,annulator,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,bicinctus,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthocladiinae,Chironomidae,Cricotopus,curtus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,ephippium,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,festivellus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,isocladius_sp,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,isocladius_sylvestris,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Orthocladiinae,Chironomidae,Cricotopus,polaris,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,sp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Chironominae,Chironomidae,Demicryptochironomus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Chironominae,Chironomidae,Demicryptochironomus,vulneratus,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chironominae,Chironomidae,Dicrotendipes,nervosus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Dicrotendipes,pulsus,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Dicrotendipes,sp,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1
Chironominae,Chironomidae,Endochironomus,albipennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chironominae,Chironomidae,Endochironomus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,claripennis,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,clypeata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,coerulescens,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,sp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Chironominae,Chironomidae,Glyptotendipes,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Orthocladiinae,Chironomidae,Gymnometriocnemus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Heleniella,ornaticollis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Heterotanytarsus,apicalis,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
Orthocladiinae,Chironomidae,Heterotrissocladius,marcidus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Heterotrissocladius,sp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Orthocladiinae,Chironomidae,Limnophyes,sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Tanypodinae,Chironomidae,Macropelopia,adaucta,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
