FilterType,PoreSize,SampleID,Replicate,CopyNumber
CelluloseNitrate,0.8,1,1,5899
CelluloseNitrate,0.8,1,2,5206
CelluloseNitrate,0.8,2,1,5914
CelluloseNitrate,0.8,2,2,6265
CelluloseNitrate,0.8,3,1,3720
CelluloseNitrate,0.8,3,2,3335
CelluloseNitrate,0.8,4,1,3941
CelluloseNitrate,0.8,4,2,4683
CelluloseNitrate,0.8,5,1,3919
CelluloseNitrate,0.8,5,2,4625
CelluloseNitrate,0.8,6,1,3910
CelluloseNitrate,0.8,6,2,3160
CelluloseNitrate,0.8,7,1,4321
CelluloseNitrate,0.8,7,2,5447
CelluloseNitrate,0.8,8,1,5097
CelluloseNitrate,0.8,8,2,5427
CelluloseNitrate,0.8,9,1,4175
CelluloseNitrate,0.8,9,2,4506
CelluloseNitrate,0.8,10,1,3501
CelluloseNitrate,0.8,10,2,3319
Polyethersulfone_PES,0.8,1,1,5817
Polyethersulfone_PES,0.8,1,2,6129
Polyethersulfone_PES,0.8,2,1,6449
Polyethersulfone_PES,0.8,2,2,3979
Polyethersulfone_PES,0.8,3,1,5262
Polyethersulfone_PES,0.8,3,2,5383
Polyethersulfone_PES,0.8,4,1,5472
Polyethersulfone_PES,0.8,4,2,5776
Polyethersulfone_PES,0.8,5,1,4750
Polyethersulfone_PES,0.8,5,2,4614
Polyethersulfone_PES,0.8,6,1,5059
Polyethersulfone_PES,0.8,6,2,4236
Polyethersulfone_PES,0.8,7,1,5649
Polyethersulfone_PES,0.8,7,2,6303
Polyethersulfone_PES,0.8,8,1,NA
Polyethersulfone_PES,0.8,8,2,5228
Polyethersulfone_PES,0.8,9,1,4430
Polyethersulfone_PES,0.8,9,2,4599
Polyethersulfone_PES,0.8,10,1,4859
Polyethersulfone_PES,0.8,10,2,4009
Polycarbonate_PCTE,1,1,1,2975
Polycarbonate_PCTE,1,1,2,3105
Polycarbonate_PCTE,1,2,1,3425
Polycarbonate_PCTE,1,2,2,3147
Polycarbonate_PCTE,1,3,1,2128
Polycarbonate_PCTE,1,3,2,2377
Polycarbonate_PCTE,1,4,1,3307
Polycarbonate_PCTE,1,4,2,3053
Polycarbonate_PCTE,1,5,1,2893
Polycarbonate_PCTE,1,5,2,3078
Polycarbonate_PCTE,1,6,1,2912
Polycarbonate_PCTE,1,6,2,2309
Polycarbonate_PCTE,1,7,1,3352
Polycarbonate_PCTE,1,7,2.00,NA
Polycarbonate_PCTE,1,8,1,2124
Polycarbonate_PCTE,1,8,2,2170
Polycarbonate_PCTE,1,9,1,3958
Polycarbonate_PCTE,1,9,2,4312
Polycarbonate_PCTE,1,10,1,2666
Polycarbonate_PCTE,1,10,2,2400
GlassMicrofiber_GMF,1.5,1,1,1226
GlassMicrofiber_GMF,1.5,1,2,1295
GlassMicrofiber_GMF,1.5,2,1,3893
GlassMicrofiber_GMF,1.5,2,2,3691
GlassMicrofiber_GMF,1.5,3,1,986
GlassMicrofiber_GMF,1.5,3,2,986
GlassMicrofiber_GMF,1.5,4,1,1409
GlassMicrofiber_GMF,1.5,4,2,1583
GlassMicrofiber_GMF,1.5,5,1,338
GlassMicrofiber_GMF,1.5,5,2,308
GlassMicrofiber_GMF,1.5,6,1,561
GlassMicrofiber_GMF,1.5,6,2,539
GlassMicrofiber_GMF,1.5,7,1,2556
GlassMicrofiber_GMF,1.5,7,2,2428
GlassMicrofiber_GMF,1.5,8,1,NA
GlassMicrofiber_GMF,1.5,8,2,NA
GlassMicrofiber_GMF,1.5,9,1,613
GlassMicrofiber_GMF,1.5,9,2,673
GlassMicrofiber_GMF,1.5,10,1,2471
GlassMicrofiber_GMF,1.5,10,2,2492
